model,hw,task,ablation,operator,cycles,pct_of_total
janus,sdma,GenEval,,text/ffn_up,8204604672,8.699
janus,sdma,GenEval,,text/omap,2983492608,3.163
janus,sdma,GenEval,,text/qkv,8950477824,9.490
janus,sdma,GenEval,,img/attn,8691148800,9.215
janus,sdma,GenEval,,img/drain,122880,0.000
janus,sdma,GenEval,,img/ffn_down,13028843520,13.814
janus,sdma,GenEval,,img/ffn_up,26057687040,27.629
janus,sdma,GenEval,,img/omap,4737761280,5.023
janus,sdma,GenEval,,img/prefetch,122880,0.000
janus,sdma,GenEval,,img/qkv,12732733440,13.500
janus,sdma,MM,,text/attn,5577705192,16.530
janus,sdma,MM,,text/ffn_down,8026798080,23.788
janus,sdma,MM,,text/ffn_up,8204604672,24.315
janus,sdma,MM,,text/omap,2983492608,8.842
janus,sdma,MM,,text/qkv,8950477824,26.525
janus,base,GenEval,,text/attn,900292728,0.946
janus,base,GenEval,,text/ffn_down,8026798080,8.436
janus,base,GenEval,,text/ffn_up,8204604672,8.623
janus,base,GenEval,,text/omap,2983492608,3.136
janus,base,GenEval,,text/qkv,8950477824,9.407
janus,base,GenEval,,img/attn,9520957440,10.007
janus,base,GenEval,,img/drain,122880,0.000
janus,base,GenEval,,img/ffn_down,13028843520,13.694
janus,base,GenEval,,img/ffn_up,26057687040,27.388
janus,base,GenEval,,img/omap,4737761280,4.980
janus,base,GenEval,,img/prefetch,122880,0.000
janus,base,GenEval,,img/qkv,12732733440,13.383
janus,base,MM,,text/attn,5577705192,16.530
janus,base,MM,,text/ffn_down,8026798080,23.788
janus,base,MM,,text/ffn_up,8204604672,24.315
janus,base,MM,,text/omap,2983492608,8.842
janus,base,MM,,text/qkv,8950477824,26.525
bagel,ours,GenEdit,alloff,text/attn,24575843646,1.421
bagel,ours,GenEdit,alloff,text/ffn_down,54804082144,3.170
bagel,ours,GenEdit,alloff,text/ffn_up,56458378144,3.265
bagel,ours,GenEdit,alloff,text/omap,10681314784,0.618
bagel,ours,GenEdit,alloff,text/qkv,13733119008,0.794
bagel,ours,GenEdit,alloff,img/attn,192894732800,11.156
bagel,ours,GenEdit,alloff,img/drain,25600,0.000
bagel,ours,GenEdit,alloff,img/ffn_down,398878233600,23.069
bagel,ours,GenEdit,alloff,img/ffn_up,797756467200,46.138
bagel,ours,GenEdit,alloff,img/omap,75463449600,4.364
bagel,ours,GenEdit,alloff,img/prefetch,102400,0.000
bagel,ours,GenEdit,alloff,img/qkv,103817246400,6.004
