hw,batch,total_cycles,seconds,throughput_req_per_s,energy_mJ,energy_per_req_mJ,compute_mJ,sram_mJ,dram_mJ,avg_power_W,edp_mJs,cyc:text/qkv,cyc:text/attn,cyc:text/omap,cyc:text/ffn_up,cyc:text/ffn_down,cyc:img/qkv,cyc:img/attn,cyc:img/omap,cyc:img/ffn_up,cyc:img/ffn_down,e_mJ:text/qkv,e_mJ:text/attn,e_mJ:text/omap,e_mJ:text/ffn_up,e_mJ:text/ffn_down,e_mJ:img/qkv,e_mJ:img/attn,e_mJ:img/omap,e_mJ:img/ffn_up,e_mJ:img/ffn_down
sdma,8,6728552445624.0,13457.104891248,0.0005944815073265055,21366192.657974593,2670774.082246824,17869903.386918914,581142.896901504,2915146.374154176,1.587725802142656,287527095724.977,13531371840.0,183507927064.0,10524400320.0,111257946240.0,54652553760.0,453396787200.0,768626073600.0,304503091200.0,3219032678400.0,1609516339200.0,8063.8612045824,84178.54196917762,6274.441363456001,66231.47796070401,33114.951073791985,1297458.71732736,2334602.4614707204,968396.7197184,10148581.4513664,5073579.5453952
sdma,16,13267457064656.0,26534.914129312,0.0006029791512430589,42598970.55224235,2662435.659515147,35739806.77383783,1160044.35722112,5699119.421183411,1.605393194213697,1130360025600.8416,13560918336.0,367015854128.0,10547380928.0,111500884096.0,54675534368.0,906793574400.0,1537252147200.0,609006182400.0,6438065356800.0,3219032678400.0,9361.0548068352,168357.08393835527,7285.919036211201,76825.9111911424,38411.37978245121,2594917.43465472,4669204.922941441,1936793.4394368,20297162.902732797,10147159.0907904
sdma,32,26345266302720.0,52690.53260544,0.0006073197293264062,85064526.34077789,2658266.448149309,71479613.54767565,2317847.2778603523,11267065.515241882,1.6144176597675055,4482095198725.067,13620011328.0,734031708256.0,10593342144.0,111986759808.0,54721495584.0,1813587148800.0,3074504294400.0,1218012364800.0,12876130713600.0,6438065356800.0,11955.442011340801,336714.1678767105,9308.874381721598,98014.7776520192,49004.237199769595,5189834.86930944,9338409.845882881,3873586.8788736,40594325.80546561,20294318.1815808
sdma,64,52687713172096.0,105375.426344192,0.0006073522283170103,170035245.03308043,2656800.7036418817,142959227.0953513,4635694.555720705,22440323.382008426,1.6136138275510974,17917536438900.008,26978259168.0,1468063416512.0,20983090464.0,221821242048.0,109241192704.0,3627174297600.0,6149008588800.0,2436024729600.0,25752261427200.0,12876130713600.0,17303.058382848,673428.3357534208,13478.3288213504,141698.5444876288,70842.9689913344,10379669.73861888,18676819.691765763,7747173.757747202,81188651.6109312,40588636.3631616
base,1,1017752958371.0,2035.505916742,0.0004912783558008935,2821842.921638459,2821842.921638459,2256886.8417392643,75415.47727224001,489540.6026269552,1.3863103508709314,5743877963.111616,13505518656.0,22938490883.0,10504292288.0,111045375616.0,54632445728.0,56674598400.0,106820313600.0,38062886400.0,402379084800.0,201189542400.0,6928.816802611201,10522.317746147188,5389.398399795201,56961.3488840704,28480.575953715204,162182.33966592,324007.817952,121049.5899648,1268572.6814207998,634197.4431744
base,2,1845858090150.0,3691.7161803,0.0005417534562035248,5510271.07957009,2755135.539785045,4513773.683478529,148589.517962592,847907.8781289697,1.492604200987712,20342356902.288048,13509211968.0,45876981766.0,10507164864.0,111075742848.0,54635318304.0,113349196800.0,213640627200.0,76125772800.0,804758169600.0,402379084800.0,7090.9660028928,21044.63549229439,5515.833108889601,58285.6530378752,29142.62954229761,324364.67933184,648015.635904,242099.1799296,2537145.3628416006,1268394.8863488
base,4,3502068353708.0,7004.136707416,0.0005710910804703153,10887127.395433351,2721781.848858338,9027547.366957057,294937.599343296,1564642.4291329987,1.5543853368690004,76254928628.66908,13516598592.0,91753963532.0,10512910016.0,111136477312.0,54641063456.0,226698393600.0,427281254400.0,152251545600.0,1609516339200.0,804758169600.0,7415.264403456,42089.27098458882,5768.7025270784015,60934.26134548481,30466.73671946239,648729.35866368,1296031.271808,484198.35985920014,5074290.7256832,2536789.7726976
base,8,6814488880824.0,13628.977761648,0.0005869845956101002,21640840.027159873,2705105.003394984,18055094.733914115,587633.762104704,2998111.531141056,1.5878549665006634,294942527473.5438,13531371840.0,183507927064.0,10524400320.0,111257946240.0,54652553760.0,453396787200.0,854562508800.0,304503091200.0,3219032678400.0,1609516339200.0,8063.8612045824,84178.54196917762,6274.441363456001,66231.47796070401,33114.951073791985,1297458.71732736,2592062.543616,968396.7197184,10148581.4513664,5073579.5453952
base,16,13439329935056.0,26878.659870112,0.0005952677729216464,43148265.29061291,2696766.580663307,36110189.46782823,1173026.08762752,5865049.735157171,1.6052982365609705,1159767546731.7437,13560918336.0,367015854128.0,10547380928.0,111500884096.0,54675534368.0,906793574400.0,1709125017600.0,609006182400.0,6438065356800.0,3219032678400.0,9361.0548068352,168357.08393835527,7285.919036211201,76825.9111911424,38411.37978245121,2594917.43465472,5184125.087232,1936793.4394368,20297162.902732797,10147159.0907904
base,32,26689012043520.0,53378.02408704,0.000599497649965831,86163115.81751901,2692597.369297469,72220378.93565646,2343810.738673152,11598926.143189404,1.614205795198011,4599216871521.947,13620011328.0,734031708256.0,10593342144.0,111986759808.0,54721495584.0,1813587148800.0,3418250035200.0,1218012364800.0,12876130713600.0,6438065356800.0,11955.442011340801,336714.1678767105,9308.874381721598,98014.7776520192,49004.237199769595,5189834.86930944,10368250.174464,3873586.8788736,40594325.80546561,20294318.1815808
base,64,53375204653696.0,106750.409307392,0.0005995293171730095,172232423.98656267,2691131.6247900417,144440757.87131292,4687621.477346304,23104044.637903467,1.6134123054330651,18385881756569.844,26978259168.0,1468063416512.0,20983090464.0,221821242048.0,109241192704.0,3627174297600.0,6836500070400.0,2436024729600.0,25752261427200.0,12876130713600.0,17303.058382848,673428.3357534208,13478.3288213504,141698.5444876288,70842.9689913344,10379669.73861888,20736500.348928,7747173.757747202,81188651.6109312,40588636.3631616
