combo,dataset,hw,axis,point,kv_cache_init,batch,total_cycles,seconds,throughput_req_per_s,energy_mJ,energy_per_req_mJ,compute_mJ,sram_mJ,dram_mJ,avg_power_W,edp_mJs,cyc:text/qkv,cyc:text/attn,cyc:text/omap,cyc:text/ffn_up,cyc:text/ffn_down,cyc:img/qkv,cyc:img/attn,cyc:img/omap,cyc:img/ffn_up,cyc:img/ffn_down,e_mJ:text/qkv,e_mJ:text/attn,e_mJ:text/omap,e_mJ:text/ffn_up,e_mJ:text/ffn_down,e_mJ:img/qkv,e_mJ:img/attn,e_mJ:img/omap,e_mJ:img/ffn_up,e_mJ:img/ffn_down
MMVet/all_off,MMVet,all_off,ctxlen,3211,3211,1,216413815450.0,432.8276309,0.0023103885440969893,151435.1310810016,151435.1310810016,2477.9232952320003,2479.922828096,146477.2849576736,0.349873992023372,65545309.02082088,13733119008.0,24278543226.0,10681314784.0,112916756288.0,54804082144.0,0,0,0,0,0,6928.816802611201,10392.227950809594,5389.398399795201,56961.3488840704,28480.575953715204,0,0,0,0,0
MMVet/all_off,MMVet,all_off,ctxlen,7609,7609,1,246563329789.0,493.126659578,0.0020278765720266757,170784.3017539792,170784.3017539792,2781.1294371840004,2784.066989984,165219.1053268112,0.34632948439682865,84218292.23230094,13733119008.0,54428057565.0,10681314784.0,112916756288.0,54804082144.0,0,0,0,0,0,6928.816802611201,23711.495755987187,5389.398399795201,56961.3488840704,28480.575953715204,0,0,0,0,0
MMVet/all_off,MMVet,all_off,ctxlen,12018,12018,1,279699122643.5,559.398245287,0.001787635210559069,190763.74859476002,190763.74859476002,3085.0939392,3088.679010928,184589.975644632,0.3410159938868407,106712906.22808841,13733119008.0,87563850419.5,10681314784.0,112916756288.0,54804082144.0,0,0,0,0,0,6928.816802611201,37063.784025968,5389.398399795201,56961.3488840704,28480.575953715204,0,0,0,0,0
GEdit/all_off,GEdit,all_off,batch,1,3254,1,1785521373469.5,3571.042746939,0.0002800302519081219,2975396.6046580593,2975396.6046580593,2256886.8417392643,75415.47727224001,643094.2856465552,0.8332010607292003,10625268464.328115,13733119008.0,24575843645.5,10681314784.0,112916756288.0,54804082144.0,103817246400.0,192894732800.0,75463449600.0,797756467200.0,398878233600.0,6928.816802611201,10522.317746147188,5389.398399795201,56961.3488840704,28480.575953715204,162182.33966592,324007.817952,121049.5899648,1268572.6814207998,634197.4431744
MMVet/all_on,MMVet,all_on,batch,1,3241,1,127169309589.0,254.338619178,0.003931766254106088,83136.0460591696,83136.0460591696,2291.734409216,1687.9085840960001,79156.4030658576,0.3268715003952525,21144707.1586078,4522460544.0,24515087541.0,3517469312.0,66280279744.0,28334012448.0,0,0,0,0,0,1787.6319498239998,10483.203353145595,1390.6990698496004,29360.4988379136,14680.150930636803,0,0,0,0,0
MMVet/all_off,MMVet,all_off,batch,1,3241,1,216650359765.0,433.30071953,0.0023078660037414594,151573.4153463376,151573.4153463376,2479.9915499520002,2482.118396576,146611.30539980961,0.34981113234879657,65676869.93118763,13733119008.0,24515087541.0,10681314784.0,112916756288.0,54804082144.0,0,0,0,0,0,6928.816802611201,10483.203353145595,5389.398399795201,56961.3488840704,28480.575953715204,0,0,0,0,0
GEdit/all_off,GEdit,all_off,batch,4,3254,4,6565799094294.0,13131.598188588,0.0003046087721048452,11499873.543550551,2874968.3858876377,9027547.366957057,294937.599343296,2177388.5772501985,0.8757405898654821,151011718593.47946,13744198944.0,98303374582.0,10689932512.0,113007857984.0,54812699872.0,415268985600.0,771578931200.0,301853798400.0,3191025868800.0,1595512934400.0,7415.264403456,42089.27098458882,5768.7025270784015,60934.26134548481,30466.73671946239,648729.35866368,1296031.271808,484198.35985920014,5074290.7256832,2536789.7726976
MMVet/all_on,MMVet,all_on,batch,4,3241,4,200833989300.0,401.6679786,0.009958473697459934,135578.645593888,33894.661398472,9166.937636864,2409.9540281600002,124001.75392886401,0.33753909402099397,54457600.517022796,4533540480.0,98060350164.0,3526087040.0,66371381440.0,28342630176.0,0,0,0,0,0,1956.3956256768001,41932.81341258241,1522.9156999168001,33333.41129932799,16666.311696384,0,0,0,0,0
MMVet/all_off,MMVet,all_off,batch,4,3241,4,290315039476.0,580.630078952,0.006889067833378084,204580.786303264,51145.196575816,9919.966199808001,3204.16384064,191456.65626281602,0.3523427285622529,118785758.10332642,13744198944.0,98060350164.0,10689932512.0,113007857984.0,54812699872.0,0,0,0,0,0,7415.264403456,41932.81341258241,5768.7025270784015,60934.26134548481,30466.73671946239,0,0,0,0,0
GEdit/all_off,GEdit,all_off,batch,16,3254,16,25686909977592.0,51373.819955184,0.0003114426767166159,45597781.29912011,2849861.331195007,36110189.46782823,1173026.08762752,8314565.743664372,0.8875684412585512,2342532206816.853,13788518688.0,393213498328.0,10724403424.0,113372264768.0,54847170784.0,1661075942400.0,3086315724800.0,1207415193600.0,12764103475200.0,6382051737600.0,9361.0548068352,168357.08393835527,7285.919036211201,76825.9111911424,38411.37978245121,2594917.43465472,5184125.087232,1936793.4394368,20297162.902732797,10147159.0907904
