variant,axis,point,kv_cache_init,batch,total_cycles,seconds,throughput_req_per_s,energy_mJ,energy_per_req_mJ,compute_mJ,sram_mJ,dram_mJ,avg_power_W,edp_mJs,cyc:text/qkv,cyc:text/attn,cyc:text/omap,cyc:text/ffn_up,cyc:text/ffn_down,cyc:img/qkv,cyc:img/attn,cyc:img/omap,cyc:img/ffn_up,cyc:img/ffn_down,e_mJ:text/qkv,e_mJ:text/attn,e_mJ:text/omap,e_mJ:text/ffn_up,e_mJ:text/ffn_down,e_mJ:img/qkv,e_mJ:img/attn,e_mJ:img/omap,e_mJ:img/ffn_up,e_mJ:img/ffn_down
only_T2,ctxlen,3211,3211,1,1577212789850.0,3154.4255797,0.00031701492862453405,2620053.9827978015,2620053.9827978015,1958211.7289656322,65570.05466009601,596272.1991720735,0.8305962263490713,8264765303.532249,13733119008.0,24278543226.0,10681314784.0,112916756288.0,54804082144.0,103817246400.0,190366176000.0,75463449600.0,592273740800.0,398878233600.0,6928.816802611201,10392.227950809594,5389.398399795201,56961.3488840704,28480.575953715204,162182.33966592,320289.5058249599,121049.58996480003,958740.17820672,634197.4431744
only_T3,ctxlen,3211,3211,1,1116522896410.0,2233.04579282,0.00044781885047558785,2138653.647338167,2138653.647338167,1664781.8387128322,46436.680736768,427435.1278885664,0.9577294179164009,4775711529.487641,13733119008.0,24278543226.0,10681314784.0,66280279744.0,28334012448.0,103817246400.0,190366176000.0,75463449600.0,402379084800.0,201189542400.0,6928.816802611201,10392.227950809594,5389.398399795201,29360.498837913594,14680.150930636813,162182.33966591998,320289.50582496,121049.5899648,830110.2914764802,414966.24820224004
noT1,ctxlen,3211,3211,1,906077984474.0,1812.155968948,0.0005518288807008836,1698094.2259701537,1698094.2259701537,1297338.016464896,37323.391164416,363432.8183408416,0.9370574360417431,3077211587.4279475,4522460544.0,24278543226.0,3517469312.0,66280279744.0,28334012448.0,50790499200.0,190366176000.0,38062886400.0,298735987200.0,201189542400.0,1787.6319498239998,10392.227950809594,1390.6990698496004,29360.4988379136,14680.150930636803,57818.31487488,320289.50582496,42402.39489024,623790.956544,414966.24820224004
noT2,ctxlen,3211,3211,1,881613286874.0,1763.226573748,0.0005671420876299247,1683295.9085912737,1683295.9085912737,1339077.474000896,36857.206900416,307361.22768996167,0.9546679556973657,2968032077.5094175,4522460544.0,24278543226.0,3517469312.0,66280279744.0,28334012448.0,50790499200.0,62258380800.0,38062886400.0,402379084800.0,201189542400.0,1787.6319498239998,10392.227950809594,1390.6990698496004,29360.4988379136,14680.150930636803,57818.31487488,104064.79303360001,42402.39489024,830110.29147648,414966.24820224004
noT3,ctxlen,3211,3211,1,1342303180314.0,2684.606360628,0.0003724940887669184,2164696.244050909,2164696.244050909,1632507.364253696,55990.58082374401,476198.29897346883,0.8063365548849141,5811357305.606611,4522460544.0,24278543226.0,3517469312.0,112916756288.0,54804082144.0,50790499200.0,62258380800.0,38062886400.0,592273740800.0,398878233600.0,1787.6319498239998,10392.227950809578,1390.6990698496004,56961.348884070394,28480.57595371521,57818.31487488,104064.79303360001,42402.39489024,958740.17820672,634197.4431744
all_on,ctxlen,3211,3211,1,777970189274.0,1555.940378548,0.0006426981481984533,1456247.9541387935,1456247.9541387935,1141746.5857064961,31954.423924416,282546.94450788165,0.9359278634427888,2265834993.0224648,4522460544.0,24278543226.0,3517469312.0,66280279744.0,28334012448.0,50790499200.0,62258380800.0,38062886400.0,298735987200.0,201189542400.0,1787.6319498239998,10392.227950809594,1390.6990698496004,29360.4988379136,14680.150930636803,57818.31487488,104064.79303360001,42402.39489024,623790.956544,414966.24820224004
all_off,ctxlen,7609,7609,1,2039218131389.0,4078.436262778,0.0002451920136956748,3415942.886867899,3415942.886867899,2528191.2218787842,85072.794831584,802678.8701575313,0.8375619151005567,13931705341.380608,13733119008.0,54428057565.0,10681314784.0,112916756288.0,54804082144.0,103817246400.0,416739276800.0,75463449600.0,797756467200.0,398878233600.0,6928.816802611201,23711.495755987187,5389.398399795201,56961.3488840704,28480.575953715204,162182.33966592,700625.5705680001,121049.5899648,1268572.6814207998,634197.4431744
only_T1,ctxlen,7609,7609,1,1745243219389.0,3490.486438778,0.000286493019680688,2862769.4716006992,2862769.4716006992,2172452.9153187843,72786.887788384,617529.6684935313,0.8201634705685718,9992458017.9699,13733119008.0,54428057565.0,10681314784.0,112916756288.0,54804082144.0,103817246400.0,122764364800.0,75463449600.0,797756467200.0,398878233600.0,6928.816802611201,23711.495755987187,5389.398399795201,56961.3488840704,28480.575953715204,162182.33966592,206247.13770080003,121049.5899648,1268572.6814207998,634197.4431744
only_T2,ctxlen,7609,7609,1,1827691795389.0,3655.383590778,0.0002735691002506151,3045592.694739899,3045592.694739899,2214514.954358784,75033.838799584,756043.9015815313,0.8331800532298403,11132809560.545578,13733119008.0,54428057565.0,10681314784.0,112916756288.0,54804082144.0,103817246400.0,416739276800.0,75463449600.0,586230131200.0,398878233600.0,6928.816802611201,23711.495755987187,5389.398399795201,56961.3488840704,28480.575953715204,162182.33966592,700625.5705679999,121049.5899648,940527.7564928001,634197.4431744
only_T3,ctxlen,7609,7609,1,1373045511549.0,2746.091023098,0.0003641539889205315,2583613.5029141842,2583613.5029141842,1938764.999184384,56188.913797856,588659.589931944,0.9408331629151473,7094837847.50742,13733119008.0,54428057565.0,10681314784.0,66280279744.0,28334012448.0,103817246400.0,416739276800.0,75463449600.0,402379084800.0,201189542400.0,6928.816802611201,23711.4957559872,5389.398399795201,29360.498837913594,14680.150930636813,162182.33966592,700625.5705680001,121049.5899648,830110.2914764801,414966.24820224004
noT1,ctxlen,7609,7609,1,1159552273213.0,2319.104546426,0.00043120091396531133,2130267.8863666514,2130267.8863666514,1559534.553550848,46929.755425504,523803.57739029924,0.9185734595922519,4940313940.378206,4522460544.0,54428057565.0,3517469312.0,66280279744.0,28334012448.0,50790499200.0,416739276800.0,38062886400.0,295687660800.0,201189542400.0,1787.6319498239998,23711.495755987187,1390.6990698496004,29360.4988379136,14680.150930636803,57818.314874880016,700625.5705680001,42402.394890239986,611614.4266444801,414966.2482022401
noT2,ctxlen,7609,7609,1,972268785213.0,1944.537570426,0.0005142610845934567,1816928.6207314513,1816928.6207314513,1412913.758670848,39692.500158304,364322.3619022992,0.9343756831262495,3533085965.7945995,4522460544.0,54428057565.0,3517469312.0,66280279744.0,28334012448.0,50790499200.0,122764364800.0,38062886400.0,402379084800.0,201189542400.0,1787.6319498239998,23711.495755987187,1390.6990698496004,29360.4988379136,14680.150930636803,57818.314874880016,206247.13770080003,42402.394890239986,830110.2914764801,414966.2482022401
noT3,ctxlen,7609,7609,1,1426915069053.0,2853.830138106,0.000350406279143043,2278907.8125571664,2278907.8125571664,1688663.713845248,58537.425160032006,531706.6735518865,0.798543607108168,6503615797.440862,4522460544.0,54428057565.0,3517469312.0,112916756288.0,54804082144.0,50790499200.0,122764364800.0,38062886400.0,586230131200.0,398878233600.0,1787.6319498239998,23711.495755987187,1390.6990698496004,56961.348884070394,28480.57595371521,57818.31487487999,206247.13770080003,42402.39489024,940527.7564928002,634197.4431744
all_on,ctxlen,7609,7609,1,865577361213.0,1731.154722426,0.0005776491188486163,1577094.4710994514,1577094.4710994514,1203796.246990848,34643.848382304,338654.3757262992,0.9110072315716227,2730194541.35575,4522460544.0,54428057565.0,3517469312.0,66280279744.0,28334012448.0,50790499200.0,122764364800.0,38062886400.0,295687660800.0,201189542400.0,1787.6319498239998,23711.495755987187,1390.6990698496004,29360.4988379136,14680.150930636803,57818.314874880016,206247.13770080003,42402.394890239986,611614.4266444801,414966.2482022401
