variant,axis,point,kv_cache_init,batch,total_cycles,seconds,throughput_req_per_s,energy_mJ,energy_per_req_mJ,compute_mJ,sram_mJ,dram_mJ,avg_power_W,edp_mJs,cyc:text/qkv,cyc:text/attn,cyc:text/omap,cyc:text/ffn_up,cyc:text/ffn_down,cyc:img/qkv,cyc:img/attn,cyc:img/omap,cyc:img/ffn_up,cyc:img/ffn_down,e_mJ:text/qkv,e_mJ:text/attn,e_mJ:text/omap,e_mJ:text/ffn_up,e_mJ:text/ffn_down,e_mJ:img/qkv,e_mJ:img/attn,e_mJ:img/omap,e_mJ:img/ffn_up,e_mJ:img/ffn_down
only_T2,batch,4,3254,4,5236204982294.0,10472.409964588,0.0003819560171465619,9143735.938266711,2285933.984566678,7030285.023584257,229549.549320896,1883901.3653615583,0.8731262402050585,95756951353.46571,13744198944.0,98303374582.0,10689932512.0,113007857984.0,54812699872.0,415268985600.0,771578931200.0,301853798400.0,1861431756800.0,1595512934400.0,7415.264403456,42089.27098458882,5768.7025270784015,60934.26134548481,30466.73671946239,648729.35866368,1296031.271808,484198.35985920014,2984071.9427993596,2536789.7726976
only_T3,batch,4,3254,4,4120428253654.0,8240.856507308,0.00048538643968048655,8338623.760687397,2084655.9401718492,6669842.476179456,181361.12607916803,1487420.1584287717,1.0118637247587912,68717401880.253845,13744198944.0,98303374582.0,10689932512.0,66371381440.0,28342630176.0,415268985600.0,771578931200.0,301853798400.0,1609516339200.0,804758169600.0,7415.264403456,42089.27098458881,5768.7025270784015,33333.411299328,16666.311696384,648729.35866368,1296031.271808,484198.3598592,3320441.1659059203,1659864.99280896
noT1,batch,4,3254,4,3071712700118.0,6143.425400236,0.0006511025591433632,5995174.714211415,1498793.6785528536,4657882.511450112,132062.895962816,1205229.3067984865,0.9758683997336581,36830908618.13901,4533540480.0,98303374582.0,3526087040.0,66371381440.0,28342630176.0,203161996800.0,771578931200.0,152251545600.0,938884531200.0,804758169600.0,1956.3956256768001,42089.27098458882,1522.9156999168001,33333.41129932799,16666.311696384,231273.25949951998,1296031.271808,169609.57956096,1928484.7652044797,1659864.9928089601
noT2,batch,4,3254,4,3211437269718.0,6422.874539436,0.0006227741139018488,6522254.394606935,1630563.5986517337,5346946.027200513,142754.846356416,1032553.5210500066,1.015472800310943,41891621690.84544,4533540480.0,98303374582.0,3526087040.0,66371381440.0,28342630176.0,203161996800.0,240671692800.0,152251545600.0,1609516339200.0,804758169600.0,1956.3956256768001,42089.27098458882,1522.9156999168001,33333.41129932799,16666.311696384,231273.25949951998,403209.63758208003,169609.57956096,3320441.16590592,1659864.9928089601
noT3,batch,4,3254,4,4327213998358.0,8654.427996716,0.00046219114671909405,7327366.57218625,1831841.6430465626,5707388.574605312,190943.26959814402,1429034.7279827937,0.84666098960748,63414166404.52964,4533540480.0,98303374582.0,3526087040.0,113007857984.0,54812699872.0,203161996800.0,240671692800.0,152251545600.0,1861431756800.0,1595512934400.0,1956.3956256768001,42089.2709845888,1522.9156999168001,60934.2613454848,30466.736719462402,231273.25949952003,403209.6375820805,169609.57956096,2984071.94279936,2536789.7726976
all_on,batch,4,3254,4,2540805461718.0,5081.610923436,0.0007871519603266568,4996171.6323054945,1249042.9080763736,4015437.798285312,109875.064058816,870858.7699613664,0.9831865736244255,25388600342.08467,4533540480.0,98303374582.0,3526087040.0,66371381440.0,28342630176.0,203161996800.0,240671692800.0,152251545600.0,938884531200.0,804758169600.0,1956.3956256768001,42089.27098458882,1522.9156999168001,33333.41129932799,16666.311696384,231273.25949951998,403209.63758208003,169609.57956096,1928484.7652044802,1659864.9928089601
all_off,batch,16,3254,16,25686909977592.0,51373.819955184,0.0003114426767166159,45597781.29912011,2849861.331195007,36110189.46782823,1173026.08762752,8314565.743664372,0.8875684412585512,2342532206816.853,13788518688.0,393213498328.0,10724403424.0,113372264768.0,54847170784.0,1661075942400.0,3086315724800.0,1207415193600.0,12764103475200.0,6382051737600.0,9361.0548068352,168357.08393835527,7285.919036211201,76825.9111911424,38411.37978245121,2594917.43465472,5184125.087232,1936793.4394368,20297162.902732797,10147159.0907904
only_T1,batch,16,3254,16,23563281023992.0,47126.562047984,0.0003395112926699149,41601768.97149643,2600110.560718527,33540410.615169026,1084274.76001152,6977083.5963158915,0.8827668975542443,1960548346741.1223,13788518688.0,393213498328.0,10724403424.0,113372264768.0,54847170784.0,1661075942400.0,962686771200.0,1207415193600.0,12764103475200.0,6382051737600.0,9361.0548068352,168357.08393835527,7285.919036211201,76825.9111911424,38411.37978245121,2594917.43465472,1612838.5503283201,1936793.4394368,20297162.902732797,10147159.0907904
only_T2,batch,16,3254,16,20368533529592.0,40737.067059184,0.00039276268899660186,36173230.877984755,2260826.929874047,28121140.094337028,911473.88753792,7140616.896109811,0.8879684643332625,1473591332023.8103,13788518688.0,393213498328.0,10724403424.0,113372264768.0,54847170784.0,1661075942400.0,3086315724800.0,1207415193600.0,7445727027200.0,6382051737600.0,9361.0548068352,168357.08393835527,7285.919036211201,76825.9111911424,38411.37978245121,2594917.43465472,5184125.087232,1936793.4394368,11936287.77119744,10147159.0907904
only_T3,batch,16,3254,16,16138228535320.0,32276.45707064,0.0004957173572360351,33123546.376932804,2070221.6485583002,26679369.904717825,720679.2454417921,5723497.226773185,1.0262448045161483,1069110722662.4247,13788518688.0,393213498328.0,10724403424.0,80211247424.0,28383923456.0,1661075942400.0,3086315724800.0,1207415193600.0,6438065356800.0,3219032678400.0,9361.0548068352,168357.0839383552,7285.919036211201,49225.06114498559,24610.95475937282,2594917.43465472,5184125.087232,1936793.4394368,13281764.663623681,6639459.971235841
noT1,batch,16,3254,16,11992507889176.0,23985.015778352,0.0006670831550772219,23786433.38575487,1486652.0866096793,18631530.045800447,523909.90354304004,4630993.436411379,0.99172056443772,570517980068.0493,4588016832.0,393213498328.0,3568457536.0,80211247424.0,28383923456.0,812647987200.0,3086315724800.0,609006182400.0,3755538124800.0,3219032678400.0,2631.450329088,168357.08393835524,2051.7822201855997,49225.06114498561,24610.9547593728,925093.03799808,5184125.087232001,678438.31824384,7713939.060817921,6639459.971235841
noT2,batch,16,3254,16,12551406167576.0,25102.812335152,0.0006373787839538146,25894752.10733695,1618422.0067085593,21387784.10880205,566677.7051174401,3940290.2934174594,1.031547850559994,650031102615.7612,4588016832.0,393213498328.0,3568457536.0,80211247424.0,28383923456.0,812647987200.0,962686771200.0,609006182400.0,6438065356800.0,3219032678400.0,2631.450329088,168357.08393835524,2051.7822201855997,49225.06114498561,24610.9547593728,925093.03799808,1612838.550328321,678438.31824384,13281764.663623681,6639459.971235841
noT3,batch,16,3254,16,16781711161848.0,33563.422323696,0.000476709432241178,28944436.608388904,1809027.2880243065,22829554.29842125,757472.347213568,5357409.9627540875,0.862380371382865,971474349808.804,4588016832.0,393213498328.0,3568457536.0,113372264768.0,54847170784.0,812647987200.0,962686771200.0,609006182400.0,7445727027200.0,6382051737600.0,2631.450329088,168357.0839383552,2051.7822201855997,76825.91119114241,38411.37978245121,925093.0379980801,1612838.5503283201,678438.31824384,11936287.771197442,10147159.0907904
all_on,batch,16,3254,16,9868878935576.0,19737.757871152,0.000810629054447214,19790421.05813119,1236901.3161331993,16061751.193141248,435158.57592704,3293511.289062899,1.0026681443415697,390618539013.54114,4588016832.0,393213498328.0,3568457536.0,80211247424.0,28383923456.0,812647987200.0,962686771200.0,609006182400.0,3755538124800.0,3219032678400.0,2631.450329088,168357.08393835524,2051.7822201855997,49225.06114498561,24610.9547593728,925093.03799808,1612838.550328321,678438.31824384,7713939.060817921,6639459.971235841
