variant,axis,point,kv_cache_init,batch,total_cycles,seconds,throughput_req_per_s,energy_mJ,energy_per_req_mJ,compute_mJ,sram_mJ,dram_mJ,avg_power_W,edp_mJs,cyc:text/qkv,cyc:text/attn,cyc:text/omap,cyc:text/ffn_up,cyc:text/ffn_down,cyc:img/qkv,cyc:img/attn,cyc:img/omap,cyc:img/ffn_up,cyc:img/ffn_down,e_mJ:text/qkv,e_mJ:text/attn,e_mJ:text/omap,e_mJ:text/ffn_up,e_mJ:text/ffn_down,e_mJ:img/qkv,e_mJ:img/attn,e_mJ:img/omap,e_mJ:img/ffn_up,e_mJ:img/ffn_down
noT2,batch,16,3254,16,12145469618096.0,24290.939236192,0.0006586818172992252,44712373.316623844,2794523.3322889903,21023205.31361104,566677.7051174401,19478849.41246656,1.8407017069971985,1086105543340.0422,1654603776.0,80463622064.0,1286914048.0,13748969472.0,6874484736.0,812647987200.0,962686771200.0,609006182400.0,6438065356800.0,3219032678400.0,9616.73153609728,831634.8133363201,7505.826908733442,162560.566296576,81278.707335168,1388557.3532221438,3440830.9173504002,869330.1341061125,14755580.082388995,7376367.680618496
noT3,batch,16,3254,16,16336557127600.0,32673.1142552,0.0004896992638971831,55004782.50006064,3437798.90625379,22747900.090123553,757472.347213568,26598442.92444352,1.6834875938190221,1797177543206.9067,1654603776.0,80463622064.0,1286914048.0,27353489408.0,13676744704.0,812647987200.0,962686771200.0,609006182400.0,7445727027200.0,6382051737600.0,9616.73153609728,831634.8133363201,7505.826908733442,302306.195079168,151151.521726464,1388557.3532221438,3440830.9173504002,869330.1341061125,14906462.401331203,11859862.339584
all_on,batch,16,3254,16,9462942386096.0,18925.884772192,0.0008454030124662371,35281920.93849955,2205120.0586562217,15777062.89168515,435158.57592704,16230816.755058559,1.8642151404376952,667741570223.6306,1654603776.0,80463622064.0,1286914048.0,13748969472.0,6874484736.0,812647987200.0,962686771200.0,609006182400.0,3755538124800.0,3219032678400.0,9616.73153609728,831634.8133363201,7505.826908733442,162560.566296576,81278.707335168,1388557.3532221438,3440830.9173504002,869330.1341061125,8812413.105864707,7376367.680618496
all_off,batch,64,3254,64,100819104165568.0,201638.208331136,0.00031740016205111966,343931695.31345797,5373932.739272781,144440757.87131292,4687621.477346304,164557584.71512833,1.7056871222969978,69349770831295.82,6618415104.0,321854488256.0,5147656192.0,54418079744.0,27209039872.0,6644303769600.0,12345262899200.0,4829660774400.0,51056413900800.0,25528206950400.0,45447.500922880005,3326539.2533452804,35452.643573760004,370751.00762112,185369.20055808002,14132372.373504002,43120651.7059584,9320549.253120001,94890277.60128,47439449.358336
only_T1,batch,64,3254,64,92324588351168.0,184649.176702336,0.0003466032242492546,303531496.71818113,4742679.63622158,134161642.4606761,4332616.1668823045,137339861.58527234,1.6438280534956813,56046840972239.95,6618415104.0,321854488256.0,5147656192.0,54418079744.0,27209039872.0,6644303769600.0,3850747084800.0,4829660774400.0,51056413900800.0,25528206950400.0,45447.500922880005,3326539.2533452804,35452.643573760004,370751.00762112,185369.20055808002,14132372.373504002,13763323.669401601,9320549.253120001,94890277.60128,47439449.358336
only_T2,batch,64,3254,64,79545598373568.0,159091.196747136,0.0004022849869042307,281011709.7879027,4390807.96543598,112484560.37734811,3641412.676987904,141022057.22149634,1.766356124874405,44706489210116.32,6618415104.0,321854488256.0,5147656192.0,54418079744.0,27209039872.0,6644303769600.0,12345262899200.0,4829660774400.0,29782908108800.0,25528206950400.0,45447.500922880005,3326539.2533452804,35452.643573760004,370751.00762112,185369.20055808002,14132372.373504002,43120651.7059584,9320549.253120001,59625849.605324805,47439449.358336
only_T3,batch,64,3254,64,62862875455168.0,125725.750910336,0.0005090444840185759,240576390.62222108,3759006.1034722044,105585781.27129805,2879540.142517248,113252206.57185537,1.9135013223646857,30246647362277.062,6618415104.0,321854488256.0,5147656192.0,54418079744.0,27209039872.0,6644303769600.0,12345262899200.0,4829660774400.0,25752261427200.0,12876130713600.0,45447.500922880005,3326539.2533452804,35452.643573760004,230570.03420057602,115278.713847808,14132372.373504002,43120651.7059584,9320549.253120001,59022320.32955597,29505470.722473986
noT1,batch,64,3254,64,46345418661568.0,92690.837323136,0.0006904673843530524,180851783.19692788,2825809.112451998,73387366.97737741,2092745.1606333442,91468045.46044673,1.9511290265557515,16763303215905.504,6618415104.0,321854488256.0,5147656192.0,54418079744.0,27209039872.0,3250591948800.0,12345262899200.0,2436024729600.0,15022152499200.0,12876130713600.0,12893.370182533119,3326539.2533452804,10132.76410904576,230570.03420057602,115278.713847808,5554229.412888575,43120651.7059584,3477320.53642445,35249652.42345883,29505470.722473983
noT2,batch,64,3254,64,48581011775168.0,97162.023550336,0.000658693568345085,178173394.11414823,2783959.283033566,84092821.25444417,2263816.366930944,77242452.96022272,1.8337760742688038,17311687514962.168,6618415104.0,321854488256.0,5147656192.0,54418079744.0,27209039872.0,3250591948800.0,3850747084800.0,2436024729600.0,25752261427200.0,12876130713600.0,12893.370182533119,3326539.2533452804,10132.76410904576,230570.03420057602,115278.713847808,5554229.412888575,13763323.669401601,3477320.53642445,59022320.32955598,29505470.722473983
noT3,batch,64,3254,64,65263734693568.0,130527.469387136,0.0004903182471896406,218608713.2798299,3415761.144997342,90991600.36049421,3025688.9014016003,105012303.60986368,1.6748100174335767,28534442130394.188,6618415104.0,321854488256.0,5147656192.0,54418079744.0,27209039872.0,3250591948800.0,3850747084800.0,2436024729600.0,29782908108800.0,25528206950400.0,12893.370182533119,3326539.2533452804,10132.76410904576,370751.00762112,185369.20055808002,5554229.412888575,13763323.669401601,3477320.53642445,59625849.60532481,47439449.358336
