hw,batch,total_cycles,seconds,throughput_req_per_s,energy_mJ,energy_per_req_mJ,compute_mJ,sram_mJ,dram_mJ,avg_power_W,edp_mJs,cyc:text/qkv,cyc:text/attn,cyc:text/omap,cyc:text/ffn_up,cyc:text/ffn_down,cyc:img/qkv,cyc:img/attn,cyc:img/omap,cyc:img/ffn_up,cyc:img/ffn_down,e_mJ:text/qkv,e_mJ:text/attn,e_mJ:text/omap,e_mJ:text/ffn_up,e_mJ:text/ffn_down,e_mJ:img/qkv,e_mJ:img/attn,e_mJ:img/omap,e_mJ:img/ffn_up,e_mJ:img/ffn_down
sdma,2,1645557349622.0,3291.114699244,0.0006076968391467544,9124394.3445014,4562197.1722507,4467475.846729728,146966.801661792,4016284.4912232803,2.772432801141011,30029428348.887383,3312490496.0,10057952758.0,2576700672.0,27227096064.0,13613548032.0,113349196800.0,192156518400.0,76125772800.0,804758169600.0,402379084800.0,34396.487659520004,103954.35166704001,26756.09208832,282724.05131264,141361.82867968,441636.63667200005,1215269.2102656001,291267.16416000004,2965321.17504,1482482.792448
sdma,4,3244418103788.0,6488.836207576,0.0006164433608803109,17707668.540858675,4426917.135214669,8934951.693459457,291692.166741696,7507699.24952112,2.7289436771703675,114902160779.67822,3315773440.0,20115905516.0,2579573248.0,27245152256.0,13622576128.0,226698393600.0,384313036800.0,152251545600.0,1609516339200.0,804758169600.0,34747.848024064006,207908.70333408003,27032.640724992,285521.500422144,142760.356257792,883273.2733440001,2430538.4205312002,582534.3283200001,5930642.35008,2964965.584896
sdma,8,6442139612120.0,12884.27922424,0.0006209117220115116,34874216.933573216,4359277.116696652,17869903.386918914,581142.896901504,14490528.766116802,2.706726261253495,449329148698.8762,3322339328.0,40231811032.0,2585318400.0,27281264640.0,13640632320.0,453396787200.0,768626073600.0,304503091200.0,3219032678400.0,1609516339200.0,35450.568753152,415817.40666816005,27585.737998336,291116.398641152,145557.411414016,1766546.5466880002,4861076.8410624005,1165068.6566400002,11861284.70016,5929931.169792
sdma,16,12837582628784.0,25675.165257568,0.0006231702830143945,69207313.7190023,4325457.107437644,35739806.77383783,1160044.35722112,28456187.799308162,2.695496329808541,1776909216767.737,3335471104.0,80463622064.0,2596808704.0,27353489408.0,13676744704.0,906793574400.0,1537252147200.0,609006182400.0,6438065356800.0,3219032678400.0,36856.010211328,831634.8133363201,28691.932545024003,302306.195079168,151151.521726464,3533093.0933760004,9722153.682124801,2330137.3132800004,23722569.40032,11859862.339584
sdma,32,25628468662112.0,51256.937324224,0.0006243057363647206,137873507.2898605,4308547.10280814,71479613.54767565,2317847.2778603523,56387505.86569089,2.68985067168072,7066973721827.32,3361734656.0,160927244128.0,2619789312.0,27497938944.0,13748969472.0,1813587148800.0,3074504294400.0,1218012364800.0,12876130713600.0,6438065356800.0,39666.89312768,1663269.6266726402,30904.3216384,324685.7879552,162339.74235136,7066186.186752001,19444307.364249602,4660274.626560001,47445138.80064,23719724.679168
sdma,64,51210240728768.0,102420.481457536,0.0006248750161024647,275208135.86815876,4300127.122939981,142959227.0953513,4635694.555720705,112250141.99845633,2.687042005189765,28186949776647.8,3414261760.0,321854488256.0,2665750528.0,27786838016.0,13893419008.0,3627174297600.0,6149008588800.0,2436024729600.0,25752261427200.0,12876130713600.0,45447.500922880005,3326539.2533452804,35452.643573760004,370751.00762112,185369.20055808002,14132372.373504002,38888614.728499204,9320549.253120001,94890277.60128,47439449.358336
base,1,856869026939.0,1713.738053878,0.0005835197495539709,4912847.494815565,4912847.494815565,2256886.8417392643,75415.47727224001,2323484.46772236,2.866743539771631,8419333704.764633,3310849024.0,5028976379.0,2575264384.0,27218067968.0,13609033984.0,56674598400.0,106820313600.0,38062886400.0,402379084800.0,201189542400.0,34220.807477248,51977.17583352001,26617.817769984,281325.326757888,140662.564890624,220818.31833600003,673760.1829056,145633.58208000002,1482660.58752,741241.396224
base,2,1667041458422.0,3334.082916844,0.0005998651053025323,9284574.841487,4642287.4207435,4513773.683478529,148589.517962592,4122099.2025192804,2.7847462324889203,30955542369.1614,3312490496.0,10057952758.0,2576700672.0,27227096064.0,13613548032.0,113349196800.0,213640627200.0,76125772800.0,804758169600.0,402379084800.0,34396.487659520004,103954.35166704001,26756.09208832,282724.05131264,141361.82867968,441636.63667200005,1347520.3658112,291267.16416000004,2965321.17504,1482482.792448
base,4,3287386321388.0,6574.772642776,0.0006083860564205184,18028029.534829874,4507007.383707468,9027547.366957057,294937.599343296,7719328.672113121,2.7420004484319445,118530195388.75719,3315773440.0,20115905516.0,2579573248.0,27245152256.0,13622576128.0,226698393600.0,427281254400.0,152251545600.0,1609516339200.0,804758169600.0,34747.848024064006,207908.70333408003,27032.640724992,285521.500422144,142760.356257792,883273.2733440001,2695040.7316224,582534.3283200001,5930642.35008,2964965.584896
base,8,6528076047320.0,13056.15209464,0.0006127379600061703,35514938.92151562,4439367.365189453,18055094.733914115,587633.762104704,14913787.611300802,2.7201689030641516,463688444191.15784,3322339328.0,40231811032.0,2585318400.0,27281264640.0,13640632320.0,453396787200.0,854562508800.0,304503091200.0,3219032678400.0,1609516339200.0,35450.568753152,415817.40666816005,27585.737998336,291116.398641152,145557.411414016,1766546.5466880002,5390081.4632448,1165068.6566400002,11861284.70016,5929931.169792
base,16,13009455499184.0,26018.910998368,0.0006149373431118458,70488757.6948871,4405547.355930444,36110189.46782823,1173026.08762752,29302705.489676163,2.709135586009284,1834040712848.7952,3335471104.0,80463622064.0,2596808704.0,27353489408.0,13676744704.0,906793574400.0,1709125017600.0,609006182400.0,6438065356800.0,3219032678400.0,36856.010211328,831634.8133363201,28691.932545024003,302306.195079168,151151.521726464,3533093.0933760004,10780162.9264896,2330137.3132800004,23722569.40032,11859862.339584
base,32,25972214402912.0,51944.428805824,0.0006160429662172388,140436395.24163008,4388637.35130094,72220378.93565646,2343810.738673152,58080541.24642688,2.7035891715471974,7294888334375.414,3361734656.0,160927244128.0,2619789312.0,27497938944.0,13748969472.0,1813587148800.0,3418250035200.0,1218012364800.0,12876130713600.0,6438065356800.0,39666.89312768,1663269.6266726402,30904.3216384,324685.7879552,162339.74235136,7066186.186752001,21560325.8529792,4660274.626560001,47445138.80064,23719724.679168
base,64,51897732210368.0,103795.464420736,0.0006165972699979966,280333911.77169794,4380217.37143278,144440757.87131292,4687621.477346304,115636212.75992833,2.700830073223253,29097388565225.016,3414261760.0,321854488256.0,2665750528.0,27786838016.0,13893419008.0,3627174297600.0,6836500070400.0,2436024729600.0,25752261427200.0,12876130713600.0,45447.500922880005,3326539.2533452804,35452.643573760004,370751.00762112,185369.20055808002,14132372.373504002,43120651.7059584,9320549.253120001,94890277.60128,47439449.358336
