model,hw,task,ablation,operator,cycles,pct_of_total
bagel,ours,GenEdit,noT3,text/attn,24575843646,1.861
bagel,ours,GenEdit,noT3,text/ffn_down,54804082144,4.151
bagel,ours,GenEdit,noT3,text/ffn_up,112916756288,8.552
bagel,ours,GenEdit,noT3,text/omap,10681314784,0.809
bagel,ours,GenEdit,noT3,text/qkv,13733119008,1.04
bagel,ours,GenEdit,onlyT1,img/attn,60167923200,3.64
bagel,ours,GenEdit,onlyT1,img/drain,25600,0.0
bagel,ours,GenEdit,onlyT1,img/ffn_down,398878233600,24.134
bagel,ours,GenEdit,onlyT1,img/ffn_up,797756467200,48.267
bagel,ours,GenEdit,onlyT1,img/omap,75463449600,4.566
bagel,ours,GenEdit,onlyT1,img/prefetch,102400,0.0
bagel,ours,GenEdit,onlyT1,img/qkv,103817246400,6.281
bagel,ours,GenEdit,onlyT1,text/attn,24575843646,1.487
bagel,ours,GenEdit,onlyT1,text/ffn_down,54804082144,3.316
bagel,ours,GenEdit,onlyT1,text/ffn_up,112916756288,6.832
bagel,ours,GenEdit,onlyT1,text/omap,10681314784,0.646
bagel,ours,GenEdit,onlyT1,text/qkv,13733119008,0.831
bagel,ours,GenEdit,onlyT2,img/attn,192894732800,13.274
bagel,ours,GenEdit,onlyT2,img/drain,25600,0.0
bagel,ours,GenEdit,onlyT2,img/ffn_down,398878233600,27.45
bagel,ours,GenEdit,onlyT2,img/ffn_up,465357939200,32.025
bagel,ours,GenEdit,onlyT2,img/omap,75463449600,5.193
bagel,ours,GenEdit,onlyT2,img/prefetch,102400,0.0
bagel,ours,GenEdit,onlyT2,img/qkv,103817246400,7.144
bagel,ours,GenEdit,onlyT2,text/attn,24575843646,1.691
bagel,ours,GenEdit,onlyT2,text/ffn_down,54804082144,3.771
bagel,ours,GenEdit,onlyT2,text/ffn_up,112916756288,7.771
bagel,ours,GenEdit,onlyT2,text/omap,10681314784,0.735
bagel,ours,GenEdit,onlyT2,text/qkv,13733119008,0.945
bagel,ours,GenEdit,onlyT3,img/attn,192894732800,17.233
bagel,ours,GenEdit,onlyT3,img/drain,25600,0.0
bagel,ours,GenEdit,onlyT3,img/ffn_down,201189542400,17.974
bagel,ours,GenEdit,onlyT3,img/ffn_up,402379084800,35.948
bagel,ours,GenEdit,onlyT3,img/omap,75463449600,6.742
bagel,ours,GenEdit,onlyT3,img/prefetch,102400,0.0
bagel,ours,GenEdit,onlyT3,img/qkv,103817246400,9.275
bagel,ours,GenEdit,onlyT3,text/attn,24575843646,2.196
bagel,ours,GenEdit,onlyT3,text/ffn_down,28334012448,2.531
bagel,ours,GenEdit,onlyT3,text/ffn_up,66280279744,5.921
bagel,ours,GenEdit,onlyT3,text/omap,10681314784,0.954
